token_id	speaker	tu_id	span	form	lemma	upos	jefferson_feats
0-0	TOI009	0	figurati	figurati	figurare	VERB	_
1-0	TOR001	1	che	che	che	SCONJ	_
1-1	TOR001	1	lavoro	lavoro	lavoro	NOUN	_
1-2	TOR001	1	fai?	fai	fare	VERB	Intonation=rising
2-0	TOI009	2	io	io	io	PRON	_
2-1	TOI009	2	faccio	faccio	fare	VERB	_
2-2	TOI009	2	il	il	il	DET	_
2-3	TOI009	2	grafico	grafico	grafico	NOUN	_
3-0	TOR001	3	okay	okay	okay	NOUN	_
4-0	TOR001	4	da	da	da	ADP	_
4-1	TOR001	4	quanto	quanto	quanto	DET	_
4-2	TOR001	4	tempo	tempo	tempo	NOUN	_
4-3	TOR001	4	fai	fai	fare	VERB	_
4-4	TOR001	4	il	il	il	DET	_
4-5	TOR001	4	grafico?	grafico	grafico	NOUN	Intonation=rising
5-0	TOI009	5	ma::	ma	ma	CCONJ	_
5-1	TOI009	5	dal	dal	_	_	_
5-1a	_	_	_	da	da	ADP	_
5-1b	_	_	_	il	il	DET	_
5-2	TOI009	5	duemilaenove	duemilaenove	duemilaenove	NUM	_
5-3	TOI009	5	dopo	dopo	dopo	ADV	_
5-4	TOI009	5	che	che	che	SCONJ	_
5-5	TOI009	5	ho	ho	avere	AUX	_
5-6	TOI009	5	finito	finito	finere	VERB	_
5-7	TOI009	5	lo	lo	il	DET	_
5-8	TOI009	5	ied	ied	ied	NOUN	_
5-9	TOI009	5	ho	ho	avere	AUX	_
5-10	TOI009	5	iniziato	iniziato	iniziare	VERB	_
5-11	TOI009	5	[a	a	a	ADP	_
5-12	TOI009	5	fare]::	fare	fare	VERB	_
6-0	TOR001	6	[okay]	okay	okay	NOUN	_
7-0	TOI009	7	il	il	il	DET	_
7-1	TOI009	7	grafico	grafico	grafico	NOUN	_
7-2	TOI009	7	diciamo	diciamo	dicare	VERB	_
8-0	TOR001	8	okay	okay	okay	NOUN	_
9-0	TOR001	9	e	e	e	CCONJ	_
9-1	TOR001	9	in	in	in	ADP	_
9-2	TOR001	9	pratica	pratica	pratica	NOUN	_
9-3	TOR001	9	in	in	in	ADP	_
9-4	TOR001	9	cosa	cosa	cosa	PRON	_
9-5	TOR001	9	consiste:	consiste	consistere	VERB	_
9-6	TOR001	9	il	il	il	DET	_
9-7	TOR001	9	tuo	tuo	tuo	DET	_
9-8	TOR001	9	lavoro	lavoro	lavoro	NOUN	_
9-9	TOR001	9	cioè	cioè	cioè	CCONJ	_
9-10	TOR001	9	la	la	il	DET	_
9-11	TOR001	9	tua	tua	tuo	DET	_
9-12	TOR001	9	giornata?	giornata	giornare	NOUN	Intonation=rising
10-0	TOI009	10	ma	ma	ma	CCONJ	_
10-1	TOI009	10	allora	allora	allora	ADV	_
10-2	TOI009	10	adesso	adesso	adesso	ADV	_
10-3	TOI009	10	diciamo	diciamo	dire	VERB	_
10-4	TOI009	10	che	che	che	SCONJ	_
10-5	TOI009	10	io	io	io	PRON	_
10-6	TOI009	10	prima	prima	prima	ADV	_
10-7	TOI009	10	ho	ho	avere	AUX	_
10-8	TOI009	10	iniziato:	iniziato	iniziare	VERB	_
11-0	TOI009	11	come	come	come	ADP	_
11-1	TOI009	11	dipendente	dipendente	dipendente	NOUN	_
11-2	TOI009	11	poi	poi	poi	ADV	_
11-3	TOI009	11	da	da	da	ADP	_
11-4	TOI009	11	tre	tre	tre	NUM	_
11-5	TOI009	11	qua~	qua~	qua~	PROPN	Interrupted=Yes
11-6	TOI009	11	tre	tre	tre	NUM	_
11-7	TOI009	11	anni	anni	anno	NOUN	_
11-8	TOI009	11	e	e	e	CCONJ	_
11-9	TOI009	11	mezzo::	mezzo	mezzo	NOUN	_
12-0	TOI009	12	ho	ho	avere	AUX	_
12-1	TOI009	12	preso	preso	rendepre	VERB	_
12-2	TOI009	12	la	la	il	DET	_
12-3	TOI009	12	strada	strada	strada	NOUN	_
12-4	TOI009	12	del	del	_	_	_
12-4a	_	_	_	di	di	ADP	_
12-4b	_	_	_	il	il	DET	_
12-5	TOI009	12	freelance	freelance	freelance	NOUN	_
12-6	TOI009	12	per	per	per	ADP	_
12-7	TOI009	12	una	una	uno	DET	_
12-8	TOI009	12	questione	questione	questione	NOUN	_
12-9	TOI009	12	[anche]	anche	anche	ADV	_
12-10	TOI009	12	di:	di	di	ADP	_
13-0	TOR001	13	[okay]	okay	okay	NOUN	_
14-0	TOI009	14	scelte	scelte	scelta	NOUN	_
14-1	TOI009	14	di:	di	di	ADP	_
14-2	TOI009	14	sia	sia	sia	NOUN	_
14-3	TOI009	14	di	di	di	ADP	_
14-4	TOI009	14	vita	vita	vita	NOUN	_
14-5	TOI009	14	che:	che	che	PRON	_
15-0	TOI009	15	e::h	eh	eh	NOUN	ProsodicLink=Yes
15-1	TOI009	15	mh	mh	mh	NOUN	_
15-2	TOI009	15	di	di	di	ADP	_
15-3	TOI009	15	lavoro	lavoro	lavoro	NOUN	_
16-0	TOR001	16	mh	mh	mh	NOUN	_
16-1	TOR001	16	mh	mh	mh	NOUN	_
17-0	TOI009	17	la	la	il	DET	_
17-1	TOI009	17	mia	mia	mio	DET	_
17-2	TOI009	17	giornata	giornata	giornare	NOUN	_
17-3	TOI009	17	consiste	consiste	consistere	VERB	_
17-4	TOI009	17	nel	nel	_	_	_
17-4a	_	_	_	in	in	ADP	_
17-4b	_	_	_	il	il	DET	_
17-5	TOI009	17	{ride}	{ride}	_	_	_
17-6	TOI009	17	portare:	portare	portare	VERB	_
17-7	TOI009	17	avanti	avanti	avanti	ADV	_
17-8	TOI009	17	progetti	progetti	progetto	NOUN	_
17-9	TOI009	17	che	che	che	PRON	_
17-10	TOI009	17	mi	mi	mi	PRON	_
17-11	TOI009	17	vengono:	vengono	venire	AUX	_
17-12	TOI009	17	dati,	dati	dare	VERB	Intonation=weakly_rising
17-13	TOI009	17	rispettar	rispettar	rispettare	VERB	_
17-14	TOI009	17	le	le	il	DET	_
17-15	TOI009	17	scadenze	scadenze	scadenza	NOUN	_
17-16	TOI009	17	[e:],	e	e	CCONJ	Intonation=weakly_rising
18-0	TOR001	18	[okay]	okay	okay	NOUN	_
19-0	TOI009	19	e	e	e	CCONJ	_
19-1	TOI009	19	le	le	il	DET	_
19-2	TOI009	19	richieste	richieste	richiesta	NOUN	_
19-3	TOI009	19	del	del	_	_	_
19-3a	_	_	_	di	di	ADP	_
19-3b	_	_	_	il	il	DET	_
19-4	TOI009	19	cliente	cliente	cliente	NOUN	_
20-0	TOR001	20	okay	okay	okay	NOUN	_
20-1	TOR001	20	e	e	e	CCONJ	_
20-2	TOR001	20	lavori	lavori	lavoro	NOUN	_
20-3	TOR001	20	qui	qui	qui	ADV	_
20-4	TOR001	20	giusto?	giusto	giusto	ADJ	Intonation=rising
21-0	TOI009	21	sì	sì	sì	ADV	_
21-1	TOI009	21	sì	sì	sì	INTJ	_
21-2	TOI009	21	[lavoro	lavoro	lavoro	NOUN	_
21-3	TOI009	21	qua	qua	qua	ADV	_
21-4	TOI009	21	in	in	in	ADP	_
21-5	TOI009	21	ta]lent	talent	talent	NOUN	_
21-6	TOI009	21	garden	garden	garden	NOUN	_
21-7	TOI009	21	[sì]	sì	sì	ADV	_
21-8	TOI009	21	ho	ho	avere	VERB	_
21-9	TOI009	21	la	la	il	DET	_
21-10	TOI009	21	sede	sede	sede	NOUN	_
21-11	TOI009	21	qua	qua	quo	ADJ	_
21-12	TOI009	21	in	in	in	ADP	_
21-13	TOI009	21	talent	talent	talent	NOUN	_
21-14	TOI009	21	garden	garden	garden	NOUN	_
22-0	TOR001	22	[la	la	il	DET	_
22-1	TOR001	22	tua	tua	tuo	DET	_
22-2	TOR001	22	sede	sede	sede	NOUN	_
22-3	TOR001	22	è	è	essere	AUX	_
22-4	TOR001	22	qui]	qui	qui	ADV	_
23-0	TOR001	23	[okay]	okay	okay	NOUN	_
24-0	TOR001	24	okay	okay	okay	NOUN	_
25-0	TOR001	25	a:::h	ah	ah	INTJ	_
25-1	TOR001	25	quindi	quindi	quindi	ADV	_
25-2	TOR001	25	dicevi	dicevi	diceve	ADJ	_
25-3	TOR001	25	che	che	che	DET	_
25-4	TOR001	25	lavori	lavori	lavoro	NOUN	_
25-5	TOR001	25	in	in	in	ADP	_
25-6	TOR001	25	proprio	proprio	proprio	NOUN	_
25-7	TOR001	25	giusto?	giusto	giusto	ADJ	Intonation=rising
26-0	TOI009	26	sì	sì	sì	ADV	_
26-1	TOI009	26	sono	sono	essere	AUX	_
26-2	TOI009	26	lib[ero	libero	libero	ADJ	_
26-3	TOI009	26	profe]ssionista	professionista	professionista	NOUN	_
27-0	TOR001	27	[okay]	okay	okay	NOUN	_
28-0	TOR001	28	hai	hai	avere	AUX	_
28-1	TOR001	28	sempre	sempre	sempre	ADV	_
28-2	TOR001	28	fatto	fatto	fare	VERB	_
28-3	TOR001	28	lo	lo	il	DET	_
28-4	TOR001	28	stesso	stesso	stesso	ADJ	_
28-5	TOR001	28	lavoro?	lavoro	lavoro	NOUN	Intonation=rising
29-0	TOI009	29	sì	sì	sì	ADV	_
29-1	TOI009	29	{P}	{P}	_	_	_
29-2	TOI009	29	non	non	non	ADV	_
29-3	TOI009	29	ho	ho	avere	AUX	_
29-4	TOI009	29	mai,	mai	mai	ADV	Intonation=weakly_rising
29-5	TOI009	29	sì	sì	sì	ADV	_
29-6	TOI009	29	sì	sì	sì	ADV	_
29-7	TOI009	29	sempre::::	sempre	sempre	ADV	_
30-0	TOI009	30	fatto	fatto	fare	VERB	_
30-1	TOI009	30	il	il	il	DET	_
30-2	TOI009	30	percorso	percorso	percorso	NOUN	_
30-3	TOI009	30	di	di	di	ADP	_
30-4	TOI009	30	studi	studi	studio	NOUN	_
30-5	TOI009	30	da	da	da	ADP	_
30-6	TOI009	30	grafico	grafico	grafico	ADJ	_
30-7	TOI009	30	quindi	quindi	quindi	ADV	_
30-8	TOI009	30	ho	ho	avere	AUX	_
