token_id	speaker	tu_id	span	form	lemma	upos	jefferson_feats
0-0	TOR001	0	allora	allora	allora	ADV	_
0-1	TOR001	0	intanto	intanto	intanto	ADV	_
0-2	TOR001	0	grazie	grazie	grazie	NOUN	_
1-0	TOI060	1	prego	prego	preere	VERB	_
2-0	TOR001	2	dunque	dunque	dunque	ADV	_
3-0	TOR001	3	{tossisce}	{tossisce}	_	X	_
4-0	TOR001	4	ehm	ehm	ehm	NOUN	_
4-1	TOR001	4	in	in	in	ADP	_
4-2	TOR001	4	che	che	che	DET	_
4-3	TOR001	4	zona	zona	zona	NOUN	_
4-4	TOR001	4	di	di	di	ADP	_
4-5	TOR001	4	torino	torino	torino	NOUN	_
4-6	TOR001	4	vivi?	vivi	vivo	ADJ	Intonation=rising
5-0	TOI060	5	io	io	io	PRON	_
5-1	TOI060	5	ab~	ab~	ab~	PROPN	Interrupted=Yes
5-2	TOI060	5	vivo	vivo	vivo	ADJ	_
5-3	TOI060	5	in	in	in	ADP	_
5-4	TOI060	5	zona	zona	zona	NOUN	_
5-5	TOI060	5	la	la	il	DET	_
5-6	TOI060	5	barca	barca	barca	NOUN	_
6-0	TOI060	6	d[a:	da	da	ADP	_
6-1	TOI060	6	qual]che	qualche	qualche	DET	_
6-2	TOI060	6	anno	anno	anno	NOUN	_
7-0	TOR001	7	[°okay°]	okay	okay	NOUN	Volume=low
8-0	TOI060	8	ma	ma	ma	CCONJ	_
8-1	TOI060	8	sono:	sono	essere	AUX	_
8-2	TOI060	8	son	son	essere	AUX	_
8-3	TOI060	8	nato	nato	nascere	VERB	_
8-4	TOI060	8	a	a	a	ADP	_
8-5	TOI060	8	torino	torino	torino	NOUN	_
8-6	TOI060	8	ma	ma	ma	CCONJ	_
8-7	TOI060	8	ho	ho	avere	AUX	_
8-8	TOI060	8	sempre	sempre	sempre	ADV	_
8-9	TOI060	8	vissuto	vissuto	vivere	VERB	_
8-10	TOI060	8	a	a	a	ADP	_
8-11	TOI060	8	san	san	santo	ADJ	_
8-12	TOI060	8	mauro	mauro	mauro	NOUN	_
9-0	TOR001	9	okay	okay	okay	NOUN	_
10-0	TOI060	10	la	la	il	DET	_
10-1	TOI060	10	barca	barca	barca	NOUN	_
10-2	TOI060	10	è	è	essere	AUX	_
10-3	TOI060	10	proprio	proprio	proprio	ADV	_
10-4	TOI060	10	lì	lì	lì	ADV	_
10-5	TOI060	10	vicino	vicino	vicino	ADV	_
10-6	TOI060	10	quindi	quindi	quindi	ADV	_
10-7	TOI060	10	direi	direi	dire	VERB	_
10-8	TOI060	10	che:	che	che	SCONJ	_
11-0	TOI060	11	non	non	non	ADV	_
11-1	TOI060	11	mi	mi	mi	PRON	_
11-2	TOI060	11	sono	sono	essere	AUX	_
11-3	TOI060	11	spostato	spostato	spostato	VERB	_
11-4	TOI060	11	di	di	di	ADP	_
11-5	TOI060	11	molto	molto	molto	ADV	_
12-0	TOR001	12	{ride}	{ride}	_	_	_
12-1	TOR001	12	okay	okay	okay	NOUN	_
13-0	TOR001	13	e	e	e	CCONJ	_
13-1	TOR001	13	quindi	quindi	quindi	ADV	_
13-2	TOR001	13	e::hm:::	ehm	ehm	NOUN	_
14-0	TOR001	14	adesso	adesso	adesso	ADV	_
14-1	TOR001	14	p~	p~	p~	PROPN	Interrupted=Yes
14-2	TOR001	14	ti	ti	ti	PRON	_
14-3	TOR001	14	sta	sta	stare	AUX	_
14-4	TOR001	14	suonando	suonando	suonare	VERB	_
14-5	TOR001	14	il	il	il	DET	_
14-6	TOR001	14	telefono	telefono	telefono	NOUN	_
14-7	TOR001	14	o	o	o	CCONJ	_
14-8	TOR001	14	è	è	essere	AUX	_
14-9	TOR001	14	da	da	da	ADP	_
14-10	TOR001	14	[fuori	fuori	fuori	ADV	_
14-11	TOR001	14	che	che	che	PRON	_
14-12	TOR001	14	arri]va?	arriva	arrivare	VERB	Intonation=rising
15-0	TOI060	15	[no]	no	no	ADV	_
16-0	TOR001	16	sento	sento	sentire	VERB	_
16-1	TOR001	16	una	una	uno	DET	_
16-2	TOR001	16	vibrazione	vibrazione	vibrazione	NOUN	_
17-0	TOR001	17	ehm:	ehm	ehm	NOUN	_
18-0	TOR001	18	no	no	no	ADV	_
18-1	TOR001	18	per	per	per	ADP	_
18-2	TOR001	18	te	te	te	PRON	_
18-3	TOR001	18	eh	eh	eh	INTJ	_
18-4	TOR001	18	cioè	cioè	cioè	CCONJ	_
18-5	TOR001	18	non	non	non	ADV	_
18-6	TOR001	18	per	per	per	ADP	_
19-0	TOR001	19	okay	okay	okay	NOUN	_
19-1	TOR001	19	niente	niente	niente	PRON	_
19-2	TOR001	19	era	era	essere	AUX	_
19-3	TOR001	19	da	da	da	ADP	_
19-4	TOR001	19	fuori	fuori	fuori	ADV	_
19-5	TOR001	19	{P}	{P}	_	_	_
19-6	TOR001	19	va	va	andare	VERB	_
19-7	TOR001	19	bene	bene	bene	ADV	_
20-0	TOR001	20	ah	ah	ah	INTJ	_
20-1	TOR001	20	ti	ti	ti	PRON	_
20-2	TOR001	20	piace	piace	piacere	VERB	_
