token_id	speaker	tu_id	span	form	lemma	upos	jefferson_feats
0-0	PKP089	0	mangia:te,	mangiate	mangiata	NOUN	Intonation=weakly_rising
0-1	PKP089	0	beve:te,	bevete	beveto	ADJ	Intonation=weakly_rising
1-0	PKP089	1	#magne:te	magnete	magneta	NOUN	Language=NO_ISO_CODE
2-0	PKP089	2	>patrizia<	patrizia	patrizia	NOUN	_
2-1	PKP089	2	si	si	si	PRON	_
2-2	PKP089	2	tu:	tu	tu	PRON	_
2-3	PKP089	2	{P}	{P}	_	_	_
2-4	PKP089	2	vu(oi)	vuoi	volere	AUX	_
2-5	PKP089	2	apri'	apri'	_	_	Truncated=Yes
2-5a	_	_	_	apri	aprire	VERB	_
2-5b	_	_	_	'	'	PUNCT	_
2-6	PKP089	2	la	la	il	DET	_
2-7	PKP089	2	coca	coca	coca	NOUN	_
2-8	PKP089	2	cola	cola	colare	VERB	_
2-9	PKP089	2	la	la	il	DET	_
2-10	PKP089	2	apri,	apri	apre	NOUN	Intonation=weakly_rising
2-11	PKP089	2	e:	e	e	CCONJ	_
2-12	PKP089	2	[anche	anche	anche	ADV	_
2-13	PKP089	2	tu:	tu	tu	PRON	_
2-14	PKP089	2	michi:].	michi	micare	VERB	Intonation=falling
3-0	PKP090	3	[°no:	no	no	ADV	Volume=low
3-1	PKP090	3	grazie.°]	grazie	grazie	NOUN	Intonation=falling|Volume=low
4-0	PKP088	4	°grazie	grazie	grazie	NOUN	Volume=low
4-1	PKP088	4	{P}	{P}	_	_	Volume=low
4-2	PKP088	4	gr[azie].°	grazie	grazie	NOUN	Intonation=falling|Volume=low
5-0	PKP089	5	[fa]	fa	fare	VERB	_
5-1	PKP089	5	tu.	tu	tu	PRON	Intonation=falling
6-0	PKP090	6	berrò	berrò	berrare	VERB	_
6-1	PKP090	6	un	un	uno	DET	_
6-2	PKP090	6	po'	po'	poco	PRON	_
6-3	PKP090	6	{P}	{P}	_	_	_
6-4	PKP090	6	d'	d'	di	ADP	SpaceAfter=No
6-5	PKP090	6	<acolici>.	acolici	acolico	NOUN	Intonation=falling
7-0	PKP088	7	niente	niente	niente	PRON	_
7-1	PKP088	7	vi[no].	vino	viare	VERB	Intonation=falling
8-0	PKP089	8	[tanto:]	tanto	tanto	PRON	_
8-1	PKP089	8	è	è	essere	AUX	_
8-2	PKP089	8	bevuto	bevuto	bere	VERB	_
8-3	PKP089	8	poco	poco	poco	ADV	_
8-4	PKP089	8	oggi	oggi	oggi	ADV	_
9-0	PKP089	9	mhmh	mhmh	mhmh	NOUN	_
10-0	PKP088	10	e:h	eh	eh	INTJ	_
10-1	PKP088	10	ma	ma	ma	CCONJ	_
10-2	PKP088	10	è	è	essere	AUX	_
10-3	PKP088	10	fe:sta.	festa	federe	VERB	Intonation=falling
11-0	PKP089	11	se:	se	se	SCONJ	_
11-1	PKP089	11	ma	ma	ma	CCONJ	_
11-2	PKP089	11	{P}	{P}	_	_	_
11-3	PKP089	11	q~	q~	q~	PROPN	Interrupted=Yes
11-4	PKP089	11	questo	questo	questo	PRON	_
11-5	PKP089	11	non	non	non	ADV	_
11-6	PKP089	11	è	è	essere	AUX	_
11-7	PKP089	11	l'	l'	il	DET	SpaceAfter=No
11-8	PKP089	11	andazzo	andazzo	andazzo	NOUN	_
11-9	PKP089	11	per	per	per	ADP	_
11-10	PKP089	11	fa'	fa'	fa'	NUM	Truncated=Yes
11-11	PKP089	11	la	la	il	DET	_
11-12	PKP089	11	dieta.	dieta	dieta	NOUN	Intonation=falling
12-0	PKP090	12	°vabbè°	vabbè	vabbere	VERB	Volume=low
12-1	PKP090	12	{P}	{P}	_	_	_
12-2	PKP090	12	pe(r)	per	per	ADP	_
12-3	PKP090	12	(u)n	un	uno	DET	_
12-4	PKP090	12	giorno	giorno	giorno	NOUN	_
12-5	PKP090	12	s'	s'	si	PRON	SpaceAfter=No
12-6	PKP090	12	è	è	essere	AUX	_
12-7	PKP090	12	giustifica:ta.	giustificata	giustificare	VERB	Intonation=falling
13-0	PKP089	13	se:	se	se	SCONJ	_
13-1	PKP089	13	che	che	che	SCONJ	_
13-2	PKP089	13	(u)n	un	uno	DET	_
13-3	PKP089	13	giorno:	giorno	giorno	NOUN	_
14-0	PKP089	14	io	io	io	PRON	_
14-1	PKP089	14	da	da	da	ADP	_
14-2	PKP089	14	quando	quando	quando	SCONJ	_
14-3	PKP089	14	è	è	essere	AUX	_
14-4	PKP089	14	artornato	artornato	artornare	VERB	_
14-5	PKP089	14	stefano	stefano	stefare	VERB	_
14-6	PKP089	14	(u)n	un	uno	DET	_
14-7	PKP089	14	faccio	faccio	faccio	NOUN	_
14-8	PKP089	14	altro	altro	altro	PRON	_
14-9	PKP089	14	che	che	che	PRON	_
14-10	PKP089	14	bere	bere	bere	VERB	_
14-11	PKP089	14	dio	dio	dio	NOUN	_
14-12	PKP089	14	sa:nto.	santo	santo	ADJ	Intonation=falling
15-0	PKP090	15	>eh	eh	eh	INTJ	_
15-1	PKP090	15	vabbè<	vabbè	vabbere	VERB	_
15-2	PKP090	15	ma	ma	ma	CCONJ	_
15-3	PKP090	15	adesso	adesso	adesso	ADV	_
15-4	PKP090	15	[c'	c'	ci	PRON	SpaceAfter=No
15-5	PKP090	15	eron	eron	eron	ADP	_
15-6	PKP090	15	le	le	il	DET	_
15-7	PKP090	15	feste	feste	festa	NOUN	_
15-8	PKP090	15	ci	ci	ci	PRON	_
15-9	PKP090	15	sta]	sta	stare	VERB	_
16-0	PKP089	16	[c'	c'	ci	PRON	SpaceAfter=No
16-1	PKP089	16	ho	ho	avere	VERB	_
16-2	PKP089	16	na	na	no	ADJ	_
16-3	PKP089	16	trippa	trippa	trippa	NOUN	_
16-4	PKP089	16	che	che	che	PRON	_
16-5	PKP089	16	sembro]	sembro	sembrare	VERB	_
16-6	PKP089	16	(i)ncinta	incinta	incinto	ADJ	_
17-0	PKP088	17	{ride}	{ride}	_	X	_
18-0	PKP089	18	eh	eh	eh	INTJ	_
19-0	PKP089	19	°non	non	non	ADV	Volume=low
19-1	PKP089	19	ci	ci	ci	PRON	Volume=low
19-2	PKP089	19	siamo°	siamo	essere	AUX	Volume=low
20-0	PKP089	20	#(i)nfatti:	infatti	infatti	ADV	Language=NO_ISO_CODE
20-1	PKP089	20	guarda	guarda	guardare	VERB	_
20-2	PKP089	20	{P}	{P}	_	_	_
20-3	PKP089	20	so'	so'	soco	ADV	Truncated=Yes
20-4	PKP089	20	artornata:	artornata	artornare	VERB	_
20-5	PKP089	20	l'	l'	il	DET	SpaceAfter=No
20-6	PKP089	20	altra	altra	altro	ADJ	_
20-7	PKP089	20	settimana:	settimana	settimana	NOUN	_
21-0	PKP089	21	(°manco°)	manco	manco	NOUN	Volume=low
21-1	PKP089	21	STA	sta	stare	AUX	Volume=high
21-2	PKP089	21	settima:na	settimana	settimana	NOUN	_
22-0	PKP089	22	#(i)n	in	in	ADP	Language=NO_ISO_CODE
22-1	PKP089	22	palestra	palestra	palestra	NOUN	_
22-2	PKP089	22	{P}	{P}	_	_	_
22-3	PKP089	22	ci	ci	ci	PRON	_
22-4	PKP089	22	so'	so'	soco	PRON	Truncated=Yes
22-5	PKP089	22	ita	ita	itare	VERB	_
22-6	PKP089	22	due	due	due	NUM	_
22-7	PKP089	22	volte	volte	volta	NOUN	_
22-8	PKP089	22	e	e	e	CCONJ	_
22-9	PKP089	22	basta:(i)	bastai	bastaio	NOUN	_
23-0	PKP089	23	el	el	ello	DET	_
23-1	PKP089	23	mi(o)	mio	mio	DET	_
23-2	PKP089	23	allenatore	allenatore	allenatore	NOUN	_
23-3	PKP089	23	che	che	che	PRON	_
23-4	PKP089	23	si	si	si	PRON	_
23-5	PKP089	23	chiama	chiama	chiamare	VERB	_
23-6	PKP089	23	tom	tom	tom	X	_
23-7	PKP089	23	me	me	me	X	_
23-8	PKP089	23	fa:	fa	fare	VERB	_
23-9	PKP089	23	co~	co~	co~	PROPN	Interrupted=Yes
23-10	PKP089	23	comunque	comunque	comunque	ADV	_
23-11	PKP089	23	m'	m'	mi	PRON	SpaceAfter=No
23-12	PKP089	23	ha	ha	avere	AUX	_
23-13	PKP089	23	detto	detto	dire	VERB	_
23-14	PKP089	23	{P}	{P}	_	_	_
23-15	PKP089	23	tre	tre	tre	NUM	_
23-16	PKP089	23	settimane	settimane	settimana	NOUN	_
23-17	PKP089	23	che	che	che	PRON	_
23-18	PKP089	23	(no)n	non	non	ADV	_
23-19	PKP089	23	ci	ci	ci	PRON	_
23-20	PKP089	23	vieni	vieni	vieno	ADJ	_
23-21	PKP089	23	(i)n	in	in	ADP	_
23-22	PKP089	23	palestra	palestra	palestra	NOUN	_
23-23	PKP089	23	è	è	essere	AUX	_
23-24	PKP089	23	tanto	tanto	tanto	ADV	_
23-25	PKP089	23	e:h	eh	eh	INTJ	_
23-26	PKP089	23	[(me	me	me	PRON	_
23-27	PKP089	23	fa:.)]	fa	fare	VERB	Intonation=falling
24-0	PKP090	24	[eh]	eh	eh	INTJ	_
24-1	PKP090	24	vabbè	vabbè	vabbere	VERB	_
24-2	PKP090	24	ma	ma	ma	CCONJ	_
24-3	PKP090	24	se	se	se	SCONJ	_
24-4	PKP090	24	[c'	c'	ci	PRON	SpaceAfter=No
24-5	PKP090	24	avevi	avevi	avevere	VERB	_
24-6	PKP090	24	el	el	ello	DET	_
24-7	PKP090	24	<co:vid>]	covid	covid	NOUN	_
25-0	PKP089	25	[me	me	me	PRON	_
25-1	PKP089	25	fa:	fa	fare	VERB	_
25-2	PKP089	25	eh	eh	eh	ADV	_
25-3	PKP089	25	perché	perché	perché	SCONJ	_
25-4	PKP089	25	gli	gli	lo	PRON	_
25-5	PKP089	25	ho]	ho	avere	AUX	_
25-6	PKP089	25	[detto:	detto	dire	VERB	_
25-7	PKP089	25	guarda	guarda	guarda	NOUN	_
25-8	PKP089	25	{P}	{P}	_	_	_
25-9	PKP089	25	c'	c'	ci	PRON	SpaceAfter=No
25-10	PKP089	25	ho	ho	avere	AUX	_
25-11	PKP089	25	avuto	avuto	avere	VERB	_
25-12	PKP089	25	el]	el	i	DET	_
25-13	PKP089	25	covid	covid	covid	NOUN	_
25-14	PKP089	25	me	me	me	PRON	_
25-15	PKP089	25	fa:	fa	fare	VERB	_
25-16	PKP089	25	{sospira}	{sospira}	_	_	_
25-17	PKP089	25	davve:ro?	davvero	davvero	ADV	Intonation=rising
25-18	PKP089	25	e:h	eh	eh	INTJ	_
25-19	PKP089	25	gli	gli	lo	PRON	_
25-20	PKP089	25	ho	ho	avere	AUX	_
25-21	PKP089	25	detto	detto	dire	VERB	_
25-22	PKP089	25	e	e	e	CCONJ	_
25-23	PKP089	25	no?	no	no	ADV	Intonation=rising
25-24	PKP089	25	{P}	{P}	_	_	_
25-25	PKP089	25	pensa?	pensa	pensare	VERB	Intonation=rising
25-26	PKP089	25	quanto	quanto	quanto	ADV	_
